episode_id,part_idx,scene_idx,text,speaker,broll_query,title,template_url,,brolls
ep_acupoint_erection,1,15,"Кровь приливает медленнее. Эрекция становится слабее и нестабильнее, пропадает во время близости.",Mandalina,clogged artery plaque buildup medical,ep_acupoint_p1,,,clogged artery plaque buildup medical
ep_acupoint_erection,1,16,"И вот тут большинство мужчин бегут в аптеку за виагрой, не зная альтернативы.",Mandalina,man buying pills pharmacy counter,ep_acupoint_p1,,,man buying pills pharmacy counter
ep_acupoint_erection,1,17,"Виагра работает эффективно, это факт. Но у неё есть неприятные побочные эффекты всегда.",Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,18,"Головная боль сильная, давление скачет опасно. А при гипертонии вообще категорически нельзя принимать.",Mandalina,stressed man holding head blood pressure,ep_acupoint_p1,,,stressed man holding head blood pressure
ep_acupoint_erection,1,19,И здесь вступает древняя китайская медицина. Три тысячи лет назад они обнаружили точки.,Mandalina,ancient chinese acupuncture diagram historical,ep_acupoint_p1,,,ancient chinese acupuncture diagram historical
ep_acupoint_erection,1,20,"Точки на теле, которые напрямую влияют на кровоток и потенцию мужчины естественным путём.",Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,21,Западная медицина долго игнорировала это. Называла шарлатанством и псевдонаукой без доказательств совсем.,Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,22,Но в две тысячи пятнадцатом году вышло серьёзное корейское исследование с цифрами.,Mandalina,medical research paper document close up,ep_acupoint_p1,,,medical research paper document close up
ep_acupoint_erection,1,23,Университет в Сеуле проверил акупунктуру для эректильной функции. Результат — шестьдесят восемь процентов улучшений.,Mandalina,research statistics graph rising positive,ep_acupoint_p1,,,research statistics graph rising positive
ep_acupoint_erection,1,24,Как это работает с точки зрения науки? Массаж стимулирует парасимпатическую нервную систему организма.,Mandalina,nervous system pathways medical illustration 3d,ep_acupoint_p1,,,nervous system pathways medical illustration 3d
ep_acupoint_erection,1,25,"Это та часть системы, которая отвечает за расслабление и усиленный кровоток по телу.",Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,26,Она даёт команду сосудам расшириться. Кровь приливает больше в нужные области тела естественно.,Mandalina,blood vessels dilating medical animation,ep_acupoint_p1,,,blood vessels dilating medical animation
ep_acupoint_erection,1,27,"И главное — это накопительный эффект. Чем регулярнее массируете, тем лучше работают сосуды.",Mandalina,healthy blood flow circulation improvement,ep_acupoint_p1,,,healthy blood flow circulation improvement
ep_acupoint_erection,1,28,"Вы не сломаны совсем. Это просто возрастная физиология, тело умеет восстанавливаться естественно.",Mandalina,confident mature man mirror reflection,ep_acupoint_p1,,,confident mature man mirror reflection
ep_acupoint_erection,1,29,Теперь главное — где находится эта точка. Если массировать не там — эффекта ноль.,Mandalina,acupuncture point location diagram highlighted,ep_acupoint_p1,,,acupuncture point location diagram highlighted
ep_acupoint_erection,1,30,Точка называется Гуань Юань. По-китайски означает врата жизненной мужской энергии и силы.,Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,31,"Расположение абсолютно конкретное и измеримое. На животе, средняя линия, три цуня ниже пупка.",Mandalina,male abdomen anatomy diagram medical,ep_acupoint_p1,,,male abdomen anatomy diagram medical
ep_acupoint_erection,1,32,Цунь — ширина вашего большого пальца. От пупка откладываете вниз три пальца подряд.,Mandalina,hand measuring body distance fingers,ep_acupoint_p1,,,hand measuring body distance fingers
ep_acupoint_erection,1,33,"Попробуйте прямо сейчас найти. Большой палец под пупком, второй под первым, третий вниз.",Mandalina,man finding acupuncture point abdomen,ep_acupoint_p1,,,man finding acupuncture point abdomen
ep_acupoint_erection,1,34,"Вот там, где заканчивается третий палец — это Гуань Юань. Ваша целевая точка массажа.",Mandalina,acupressure point location close up demonstration,ep_acupoint_p1,,,acupressure point location close up demonstration
ep_acupoint_erection,1,35,Нащупайте это место. Может быть чуть чувствительным. Лёгкое распирание или тепло глубоко внутри.,Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,36,Это нормально и хороший признак. Запомните ощущение — здесь будете массировать ежедневно дважды.,Mandalina,man pressing point feeling sensation,ep_acupoint_p1,,,man pressing point feeling sensation
ep_acupoint_erection,1,37,Но девяносто процентов мужчин делают три грубые ошибки. И массаж не работает совсем.,Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,38,"Ошибка первая — давят слишком сильно. Думают, чем сильнее, тем лучше эффект будет.",Mandalina,man pressing too hard grimace discomfort,ep_acupoint_p1,,,man pressing too hard grimace discomfort
ep_acupoint_erection,1,39,Это опасно. Акупунктурные точки чувствительны. Травмируете ткани — получаете воспаление и боль сильную.,Mandalina,tissue damage inflammation microscopic medical,ep_acupoint_p1,,,tissue damage inflammation microscopic medical
ep_acupoint_erection,1,40,Правильное давление умеренное. Как нажимаете кнопку лифта. Чувствуете сопротивление без боли совсем.,Mandalina,gentle pressure demonstration hand technique,ep_acupoint_p1,,,gentle pressure demonstration hand technique
ep_acupoint_erection,1,41,Ошибка вторая — массируют слишком быстро. Трут точку как стирают пятно с одежды щёткой.,Mandalina,wrong massage technique fast rubbing motion,ep_acupoint_p1,,,wrong massage technique fast rubbing motion
ep_acupoint_erection,1,42,Бесполезно полностью. Нервная система не успевает отреагировать на быстрые хаотичные движения пальцами совсем.,Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,43,Правильно — медленные круговые движения по часовой стрелке. Один круг две-три секунды точно.,Mandalina,slow circular massage motion demonstration,ep_acupoint_p1,,,slow circular massage motion demonstration
ep_acupoint_erection,1,44,Именно такой ритм стимулирует парасимпатику правильно. Запускает расширение сосудов естественно по всему телу.,Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,45,"Ошибка третья — массируют когда попало. Один день утром, другой вечером, третий забыли.",Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,46,Регулярность критична для накопительного эффекта. Как в спортзале — раз в неделю не работает.,Mandalina,consistent routine calendar schedule,ep_acupoint_p1,,,consistent routine calendar schedule
ep_acupoint_erection,1,47,Правильный режим — три минуты утром после пробуждения. Три минуты вечером перед сном обязательно.,Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,48,Каждый день без пропусков минимум две недели подряд. Утром запускаете кровоток на весь день.,Mandalina,man waking up morning stretching energetic,ep_acupoint_p1,,,man waking up morning stretching energetic
ep_acupoint_erection,1,49,Вечером помогаете телу восстановиться во время сна. Правильная техника — запомните последовательность действий чётко.,Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,50,Шаг первый — найдите точку тремя пальцами от пупка. Центральная линия живота строго посередине.,Mandalina,pointing to exact location abdomen midline,ep_acupoint_p1,,,pointing to exact location abdomen midline
ep_acupoint_erection,1,51,"Шаг второй — три пальца на точку. Указательный, средний, безымянный вместе. Остальные свободны расслабленно.",Mandalina,three fingers placement technique demonstration,ep_acupoint_p1,,,three fingers placement technique demonstration
ep_acupoint_erection,1,52,"Шаг третий — медленные круговые движения по часовой стрелке. Умеренное давление, два-три секунды круг.",Mandalina,slow clockwise circular motion massage,ep_acupoint_p1,,,slow clockwise circular motion massage
ep_acupoint_erection,1,53,"Дышите глубоко через нос животом. Глубокое дыхание усиливает эффект многократно, активирует парасимпатику дополнительно.",Mandalina,man breathing deeply relaxed calm,ep_acupoint_p1,,,man breathing deeply relaxed calm
ep_acupoint_erection,1,54,"Массируйте ровно три минуты по таймеру. Поставьте таймер заранее, чтобы полностью расслабиться во время.",Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,55,Что должны почувствовать? Лёгкое тепло в области точки. Возможно покалывание или пульсацию под кожей.,Mandalina,warmth sensation spreading body visualization,ep_acupoint_p1,,,warmth sensation spreading body visualization
ep_acupoint_erection,1,56,"Некоторые чувствуют тепло, распространяющееся вниз к паху. Это нормально — кровоток усиливается правильно туда.",Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,57,"Если острая боль — давите слишком сильно. Ослабьте давление немедленно, продолжайте мягче и нежнее.",Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,58,"После трёх минут полежите спокойно ещё минуту. Дайте телу усвоить стимуляцию, не вскакивайте резко.",Mandalina,man sitting relaxed peaceful meditation,ep_acupoint_p1,,,man sitting relaxed peaceful meditation
ep_acupoint_erection,1,59,Когда увидите результат? Первые изменения через семь-десять дней регулярного массажа без единого пропуска дней.,Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,60,"Утренняя эрекция станет сильнее, появляется чаще. Это первый признак улучшений в организме мужчины.",Mandalina,man waking up morning positive energy,ep_acupoint_p1,,,man waking up morning positive energy
ep_acupoint_erection,1,61,"Стабильный эффект через две-три недели ежедневного массажа. Эрекция увереннее, держится дольше, не пропадает.",Mandalina,confident man positive body language,ep_acupoint_p1,,,confident man positive body language
ep_acupoint_erection,1,62,"Это накопительный эффект работы с сосудами. Чем дольше массируете регулярно, тем лучше и стабильнее.",Mandalina,graph showing gradual improvement over time,ep_acupoint_p1,,,graph showing gradual improvement over time
ep_acupoint_erection,1,63,"Если через месяц нет изменений — обратитесь к урологу. Возможно причина глубже — гормоны, простата.",Mandalina,doctor consulting male patient office friendly,ep_acupoint_p1,,,doctor consulting male patient office friendly
ep_acupoint_erection,1,64,Массаж не заменяет обследование. Он только дополняет лечение эффективно. Три усиления эффекта массажа дополнительно.,Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,65,Первое — физическая активность ежедневно. Даже ходьба тридцать минут улучшает кровоток во всём теле значительно.,Mandalina,man walking park outdoor exercise active,ep_acupoint_p1,,,man walking park outdoor exercise active
ep_acupoint_erection,1,66,"Второе — правильное питание для сосудов. Гранатовый сок, грецкие орехи, жирная рыба, свежий чеснок ежедневно.",Mandalina,pomegranate juice walnuts healthy foods,ep_acupoint_p1,,,pomegranate juice walnuts healthy foods
ep_acupoint_erection,1,67,"Третье — качественный сон семь-восемь часов. Во сне вырабатывается тестостерон, критичный для либидо мужчины.",Mandalina,man sleeping peacefully bed night rest,ep_acupoint_p1,,,man sleeping peacefully bed night rest
ep_acupoint_erection,1,68,Совмещайте массаж с этими тремя вещами — эффект усиливается в разы. Это комплексный системный подход.,Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,69,"Противопоказания важны. Острое воспаление, недавняя операция, болезни сердца — консультация врача обязательна перед началом массажа.",Mandalina,urologist examination professional medical,ep_acupoint_p1,,,urologist examination professional medical
ep_acupoint_erection,1,70,Если помогло — поставьте лайк. В следующем видео покажу упражнение Кегеля для мужчин. Берегите себя!,Mandalina,thumbs up like subscribe button,ep_acupoint_p1,,,thumbs up like subscribe button
